name,city,area_ha,longitude,latitude,geometry,manager_name,email,phone,website
Ruhestätte Natur,Gelsenkirchen,15.650752560158,7.0773091208423144,51.59526782395245,"POLYGON ((7.076917500000003 51.59763579999999, 7.080408300000002 51.5982834, 7.081529399999999 51.59682829999999, 7.078393300000001 51.595904000000004, 7.077340500000001 51.5956191, 7.0778059 51.5946891, 7.078501700000004 51.593081199999986, 7.077212500000005 51.592555799999985, 7.074642699999999 51.59163309999999, 7.0744418000000024 51.59282979999999, 7.0745607999999995 51.59312709999999, 7.0745274000000045 51.5935784, 7.074640800000002 51.594437699999986, 7.074860700000001 51.59449609999999, 7.074954900000002 51.594685899999995, 7.075221899999999 51.5949003, 7.075652400000002 51.594970999999994, 7.0761269000000055 51.59508079999999, 7.076399800000002 51.5952357, 7.0763868999999975 51.5953484, 7.0761565 51.595636000000006, 7.075926100000002 51.5964234, 7.075644299999999 51.59758850000001, 7.076917500000003 51.59763579999999))",Non,NoN,Non,Non
Städt. Hauptfriedhof,Gelsenkirchen,42.749850462794974,7.080049983277114,51.57557384781799,"POLYGON ((7.071220000000005 51.5767847, 7.0725902000000005 51.57709959999998, 7.072897000000002 51.5771695, 7.0730767 51.57719469999999, 7.0733079 51.57720769999999, 7.073646700000002 51.5772302, 7.074980800000001 51.5772169, 7.076134000000003 51.5772056, 7.077356099999999 51.57719540000001, 7.0776432 51.5771952, 7.078490800000002 51.57718349999999, 7.078932000000001 51.57717929999999, 7.081131100000001 51.57713619999999, 7.0846545 51.57717170000001, 7.084867400000003 51.577173300000005, 7.085900000000004 51.5771801, 7.086257600000003 51.577103699999995, 7.086667900000001 51.57703299999999, 7.087573500000004 51.57684269999999, 7.088155600000004 51.57671740000001, 7.088563800000002 51.5766315, 7.0896558 51.57640200000001, 7.090281800000002 51.5762734, 7.090791799999998 51.5761939, 7.0911178999999995 51.576185699999996, 7.091476200000002 51.576171099999996, 7.091782600000002 51.57616829999999, 7.091736099999999 51.575047299999994, 7.0915639000000015 51.5748825, 7.091466700000002 51.5747302, 7.091432400000003 51.57467639999999, 7.0911932000000055 51.57428139999998, 7.090791600000004 51.57374409999999, 7.090768600000003 51.5736987, 7.090671900000001 51.5736997, 7.089832100000001 51.57371909999999, 7.089832200000002 51.5737842, 7.0898295 51.57409019999999, 7.088575200000001 51.5740942, 7.087963200000002 51.57489950000001, 7.087990499999999 51.5749353, 7.0878935 51.5749371, 7.087869900000003 51.5749672, 7.087178400000004 51.574973799999995, 7.087180700000001 51.57509759999999, 7.086963800000005 51.5750989, 7.086908800000002 51.57508899999999, 7.0868625 51.5750692, 7.086833600000002 51.575046699999994, 7.086772800000001 51.5750072, 7.086696500000003 51.5749806, 7.086609700000001 51.57497339999999, 7.085897500000004 51.574975999999985, 7.085945599999999 51.5751718, 7.085933300000001 51.57523239999999, 7.0850876000000005 51.575319599999986, 7.085065099999997 51.57523450000001, 7.083480400000002 51.57550229999999, 7.0831544 51.57553059999999, 7.082829300000001 51.575535200000004, 7.0828301 51.5755803, 7.0825267 51.5755618, 7.082324700000002 51.57553359999999, 7.0821718 51.5755098, 7.0820117000000025 51.57547590000001, 7.082042300000002 51.57543369999998, 7.081662499999999 51.5753378, 7.080701200000004 51.574909299999995, 7.0802375999999985 51.57458909999999, 7.079840300000001 51.57438069999999, 7.079305400000001 51.574123, 7.079008800000001 51.57400299999999, 7.078711800000002 51.57389799999999, 7.0783923000000035 51.57380889999999, 7.078072100000004 51.573733099999984, 7.0766446000000025 51.573431899999996, 7.076432000000001 51.573413399999986, 7.0751586000000035 51.57333539999999, 7.073967800000002 51.5731185, 7.073592300000002 51.573053800000004, 7.073274200000004 51.573169, 7.0727318000000015 51.5734118, 7.072229299999999 51.57366659999999, 7.071814200000003 51.574396699999994, 7.071790400000001 51.574391600000006, 7.071194700000001 51.5754205, 7.071016600000001 51.5756902, 7.070509000000001 51.5764447, 7.070408300000001 51.5765956, 7.071220000000005 51.5767847))",Non,NoN,Non,Non
Alter Friedhof Buer,Gelsenkirchen,3.0565404336994266,7.047422433366035,51.58314291541086,"POLYGON ((7.045305200000001 51.58351119999999, 7.049138900000003 51.58379049999999, 7.049367899999999 51.5828572, 7.049351100000002 51.58275760000001, 7.047520700000002 51.5825857, 7.046626300000001 51.58250439999999, 7.046640900000002 51.5824418, 7.046361100000005 51.5824199, 7.0462851 51.58242719999999, 7.045132000000002 51.5834351, 7.045305200000001 51.58351119999999))",Non,NoN,Non,Non
Kath. Friedhof Resse,Gelsenkirchen,3.0313630938246625,7.1015978561850535,51.58327636561072,"POLYGON ((7.1001413 51.583780899999994, 7.101111300000001 51.583957699999985, 7.102250199999999 51.5841965, 7.1031675 51.58336999999999, 7.1034538 51.583072800000004, 7.1027438999999974 51.58283240000001, 7.102129300000001 51.582647699999995, 7.101414600000003 51.58250559999999, 7.1009410000000015 51.582445299999996, 7.100365800000003 51.582406999999996, 7.1001413 51.583780899999994))",Non,NoN,Non,Non
Ev. Friedhof Resse,Gelsenkirchen,1.2902319811039198,7.111194322865215,51.587215284880706,"POLYGON ((7.109821600000001 51.5869098, 7.1122231 51.5880217, 7.112687300000003 51.5876611, 7.112416700000001 51.587462499999994, 7.110126000000002 51.5863908, 7.109765000000001 51.58670779999999, 7.109935499999999 51.586799400000004, 7.109821600000001 51.5869098))",Non,NoN,Non,Non
Städtischer Friedhof Beckhausen-Sutum,Gelsenkirchen,7.228554459060971,7.054624814105526,51.545164127272265,"POLYGON ((7.0527334 51.5467207, 7.053561100000003 51.546748599999994, 7.054573900000004 51.546757799999995, 7.0545813000000015 51.546741600000004, 7.055102500000003 51.54675319999999, 7.055356700000001 51.54604609999999, 7.055397500000002 51.5460518, 7.055421500000001 51.5459821, 7.055540300000001 51.545994099999994, 7.0555959 51.545976800000005, 7.055730500000002 51.54591649999999, 7.056582400000002 51.545422099999996, 7.056611000000001 51.545406099999994, 7.0566399 51.54476180000001, 7.056657700000001 51.54452760000001, 7.0566815 51.544157799999994, 7.056677500000006 51.5441239, 7.0566761 51.5441008, 7.056669200000002 51.54407539999999, 7.056661500000003 51.54405049999998, 7.0566423000000045 51.5440328, 7.056634100000001 51.5440262, 7.056626900000003 51.54402029999999, 7.0566121 51.54400840000001, 7.0565995 51.5440008, 7.056587599999999 51.543994899999994, 7.0565668 51.54398249999999, 7.056541299999999 51.54397240000001, 7.056512200000003 51.543968199999995, 7.056106700000001 51.5439115, 7.0556517 51.54383440000001, 7.055507300000004 51.54380329999999, 7.055344800000004 51.54356899999999, 7.05492 51.5436125, 7.054245700000002 51.54382259999999, 7.053784000000003 51.544010400000005, 7.0533912999999995 51.54420230000001, 7.053118600000004 51.54435209999999, 7.0529904 51.544448599999996, 7.0527472 51.5446871, 7.0525355 51.544974399999994, 7.052366699999999 51.5452836, 7.053366799999999 51.545476, 7.0531450000000016 51.54590509999999, 7.053058700000002 51.5460941, 7.053048600000006 51.54612329999999, 7.0529534 51.54630209999999, 7.0527334 51.5467207))",Non,NoN,Non,Non
Städt. Nordfriedhof Hassel,Gelsenkirchen,2.8665120277304736,7.032569500833893,51.60024734766718,"POLYGON ((7.030577600000001 51.60079989999999, 7.0337949 51.60104259999999, 7.034017600000003 51.600262099999995, 7.033693500000002 51.600229199999994, 7.033566900000002 51.60021629999999, 7.0338634 51.5990617, 7.033121300000001 51.59879870000001, 7.032764100000003 51.6001427, 7.030845600000001 51.5999447, 7.030577600000001 51.60079989999999))",Non,NoN,Non,Non
Städt. Friedhof Hassel-Oberfeldingen,Gelsenkirchen,7.8437051726437845,7.0621841447266815,51.607007115475774,"POLYGON ((7.059929100000003 51.60763939999998, 7.059986200000001 51.60766540000001, 7.060011000000004 51.6076453, 7.0609624 51.608081399999996, 7.060918600000002 51.6081263, 7.0613068000000005 51.6083012, 7.061505500000002 51.60814450000001, 7.0618893000000025 51.6083032, 7.0618212 51.6083932, 7.062128500000002 51.608633999999995, 7.062226000000001 51.6085457, 7.063342400000002 51.608641899999995, 7.064123900000001 51.607633199999995, 7.064035900000002 51.606861999999985, 7.064099000000002 51.6068717, 7.064472600000003 51.60660579999999, 7.0629521 51.605822599999996, 7.062733800000002 51.6057213, 7.0632288 51.6052947, 7.062511800000002 51.60498719999999, 7.0612161 51.60580229999999, 7.060740200000003 51.60620219999999, 7.060342100000003 51.606576999999994, 7.060041400000002 51.60682039999999, 7.059700800000002 51.60716909999999, 7.059735100000001 51.607185599999994, 7.059636099999999 51.607290799999994, 7.059712200000002 51.6073392, 7.059754100000001 51.6073381, 7.059826400000005 51.607368799999996, 7.059788300000001 51.60740539999999, 7.0600565999999985 51.6075331, 7.059929100000003 51.60763939999998))",Non,NoN,Non,Non
Städtischer Friedhof Alt-Beckhausen,Gelsenkirchen,2.601365229565616,7.051733314461825,51.55557070466989,"POLYGON ((7.050655700000001 51.5559673, 7.0506703 51.55602759999999, 7.0508624000000015 51.55605909999999, 7.051091300000003 51.556166999999995, 7.0512665000000005 51.55627140000001, 7.051462200000002 51.55639279999999, 7.051603600000003 51.55649799999999, 7.051724100000002 51.55661299999999, 7.052001100000002 51.55679560000001, 7.052787600000004 51.55634179999998, 7.052329600000006 51.55604129999999, 7.052330300000002 51.5559967, 7.052888900000003 51.55565789999999, 7.052816600000001 51.55557069999998, 7.052935200000001 51.5555007, 7.0525977 51.5550515, 7.052429599999999 51.5549599, 7.052343400000003 51.5548827, 7.052271299999998 51.55492770000001, 7.051726900000002 51.5546225, 7.0511282000000035 51.55430979999999, 7.0510275 51.5543463, 7.050655700000001 51.5559673))",Non,NoN,Non,Non
Städt. Südfriedhof,Gelsenkirchen,16.105021655821457,7.135332542419549,51.49349724594766,"POLYGON ((7.1332426 51.495231999999994, 7.132948700000001 51.494922, 7.132651600000001 51.4945951, 7.132451500000002 51.4943772, 7.132394000000001 51.494307799999994, 7.1323064 51.4942279, 7.132213500000004 51.4941734, 7.132169200000001 51.4941475, 7.132225899999999 51.4941475, 7.132248900000002 51.49410729999999, 7.1333529 51.49197359999999, 7.132684200000002 51.49177759999999, 7.132584300000003 51.49166139999999, 7.1332459 51.491507799999994, 7.133669700000001 51.491361999999995, 7.134451700000002 51.4912835, 7.135076 51.4913258, 7.1372322000000015 51.49154749999999, 7.137670599999997 51.4915926, 7.137772400000001 51.4916238, 7.137672100000001 51.4930135, 7.1380994 51.4930326, 7.138034700000001 51.49383269999999, 7.1379075 51.49420309999999, 7.1381226999999985 51.4942387, 7.137952100000002 51.49527429999999, 7.1376591 51.49528569999999, 7.137622700000001 51.49530509999999, 7.137575200000001 51.49533319999999, 7.136846500000003 51.495272699999994, 7.136711099999998 51.495832400000005, 7.1355111 51.49572069999999, 7.1356158 51.49536390000001, 7.134835799999999 51.4952471, 7.134806000000001 51.495329399999996, 7.134686500000001 51.4953296, 7.134589100000004 51.495352799999985, 7.1344688000000005 51.4954332, 7.134277699999997 51.495599500000004, 7.133348699999998 51.4955125, 7.133338000000003 51.49547619999999, 7.133318600000004 51.495393499999984, 7.133288499999997 51.495309799999994, 7.1332426 51.495231999999994))",Non,NoN,Non,Non
