name,city,area_ha,longitude,latitude,geometry,manager_name,email,phone,website
Festwiese,Kerpen,5.18759229758205,6.583177230146832,50.85754565907988,"POLYGON ((6.580036800000002 50.85863579999999, 6.580844099999999 50.8584757, 6.580759900000001 50.85828279999999, 6.5818222 50.858058099999994, 6.582207400000002 50.85886579999999, 6.583312900000004 50.8585418, 6.583940700000002 50.85835139999999, 6.584100000000003 50.8582766, 6.584725800000001 50.85761619999998, 6.585329500000003 50.8574643, 6.585140600000001 50.8562579, 6.5843481000000015 50.856274299999995, 6.583176200000001 50.8565022, 6.583217300000005 50.85658429999999, 6.582983799999999 50.8566383, 6.583088400000002 50.856845699999994, 6.582737000000004 50.85692099999999, 6.582638200000003 50.85671389999999, 6.5820494 50.8568244, 6.582353200000004 50.8576046, 6.581724699999998 50.8577071, 6.581729900000002 50.857892299999996, 6.580391700000001 50.85796929999999, 6.579750200000002 50.85809489999999, 6.580036800000002 50.85863579999999))",Non,NoN,Non,Non
Bürgerpark,Kerpen,1.1419985889836655,6.70699697313297,50.9077809401568,"POLYGON ((6.705978900000001 50.9082285, 6.706584700000001 50.90823559999999, 6.707091600000003 50.90828629999999, 6.707134500000005 50.90800559999999, 6.708050200000002 50.9080566, 6.7081038 50.9076379, 6.708123600000006 50.907506999999995, 6.707185500000002 50.907457599999994, 6.707212300000001 50.9073409, 6.7063674 50.907259700000004, 6.706343600000003 50.90733219999999, 6.705978900000001 50.9082285))",Non,NoN,Non,Non
Revierpark Nienhausen,Gelsenkirchen,31.45259595629555,7.066659086105599,51.501153512223546,"POLYGON ((7.0665217000000045 51.50445069999999, 7.067498799999998 51.504662, 7.0681338000000045 51.504884399999995, 7.068186800000004 51.504949999999994, 7.0689739 51.505343500000016, 7.069836500000002 51.50578469999999, 7.069992700000005 51.50580579999999, 7.0711072999999995 51.50278459999999, 7.0712108 51.5026329, 7.071382100000002 51.5025141, 7.0716875 51.5024131, 7.072216200000001 51.502281999999994, 7.072194600000004 51.50221629999999, 7.072175299999999 51.50215789999999, 7.0722511000000035 51.5013161, 7.072099000000007 51.501178399999986, 7.072303699999998 51.5006215, 7.072593900000001 51.5001487, 7.072753300000002 51.49964889999998, 7.0726498 51.4996262, 7.072439300000003 51.50002569999999, 7.072387100000003 51.50007799999999, 7.072029000000003 51.50002399999999, 7.071697900000005 51.50001129999999, 7.071555600000001 51.4999815, 7.071693700000001 51.49976269999999, 7.071866699999999 51.499694299999994, 7.072009100000002 51.49950249999999, 7.071890799999997 51.49948139999999, 7.071531900000002 51.499409199999995, 7.0713142 51.4997561, 7.0710369 51.49998750000001, 7.070513000000002 51.4999335, 7.070277500000002 51.5000177, 7.070072599999999 51.50008690000001, 7.069647800000003 51.50014079999999, 7.069343399999999 51.499953299999994, 7.069258199999997 51.49982149999999, 7.069279500000003 51.49942539999998, 7.068549800000003 51.499358999999984, 7.068435400000001 51.49927310000001, 7.068382200000001 51.4990009, 7.068378500000003 51.49895119999999, 7.068395900000001 51.4987801, 7.0683141 51.4987651, 7.068263100000004 51.49892040000001, 7.068172500000001 51.499104300000006, 7.0678116000000015 51.499136699999994, 7.065585100000002 51.49906479999999, 7.065590200000003 51.4991734, 7.062266500000001 51.4988452, 7.0593888000000025 51.49851399999999, 7.0588761 51.49912710000001, 7.059173800000002 51.4992394, 7.059562700000001 51.4994079, 7.060063500000001 51.4996587, 7.060909000000005 51.50012529999999, 7.061843100000002 51.5006708, 7.062539700000004 51.501108599999995, 7.0627771000000035 51.501270100000006, 7.063387600000005 51.50167819999999, 7.065532000000002 51.50336829999999, 7.065649200000003 51.50346979999999, 7.065726400000001 51.50355029999999, 7.065790900000001 51.5036885, 7.065860200000004 51.50383, 7.065826600000004 51.50396309999999, 7.0656858 51.5042171, 7.065694900000001 51.504243899999985, 7.065724899999999 51.5042708, 7.0657494000000005 51.504280300000005, 7.0665217000000045 51.50445069999999), (7.0650016 51.502201899999996, 7.0650663 51.502104499999994, 7.065007300000005 51.5020821, 7.065285900000002 51.5017927, 7.0649234 51.501663, 7.0651442 51.5013875, 7.065245000000003 51.5014237, 7.065727500000004 51.50184619999999, 7.0657577000000025 51.50201359999999, 7.065366900000001 51.5023224, 7.0650016 51.502201899999996), (7.068511300000002 51.504327399999994, 7.0682271 51.5046566, 7.0680197000000025 51.504577700000006, 7.067943600000001 51.504573099999995, 7.067494200000003 51.504418299999976, 7.067761500000003 51.504182699999994, 7.0679861 51.50390399999999, 7.0679623000000005 51.5038623, 7.0679043 51.5038281, 7.067732400000003 51.503760699999994, 7.067658199999998 51.503760700000015, 7.067536500000004 51.5038958, 7.067450200000002 51.5038672, 7.0674076999999995 51.5039123, 7.066675400000003 51.503643399999994, 7.0668996 51.503396, 7.066517800000004 51.503255499999995, 7.066656200000002 51.503094100000006, 7.066539500000001 51.503052499999995, 7.066702000000001 51.502886, 7.066637000000001 51.502856799999996, 7.066869300000002 51.502609099999994, 7.066899200000003 51.5026235, 7.0671042 51.5024115, 7.067465800000003 51.50254159999999, 7.067501300000002 51.5025117, 7.068017600000001 51.5027073, 7.0685423000000025 51.50288019999999, 7.068783000000001 51.502852000000004, 7.0692661999999995 51.502972899999996, 7.0697978 51.5030006, 7.069865400000004 51.5027913, 7.070928999999999 51.5029855, 7.070251500000001 51.50473979999999, 7.069906199999998 51.50470810000001, 7.069494300000002 51.50460489999999, 7.068511300000002 51.504327399999994))",Non,NoN,Non,Non
Emscherpark,Gelsenkirchen,17.017265762577097,7.015111036034506,51.51773723626197,"POLYGON ((7.0116771 51.5162351, 7.011721900000004 51.5163567, 7.011859600000001 51.5172216, 7.011741200000003 51.51734979999999, 7.011574000000004 51.51746529999999, 7.011409500000002 51.517536299999996, 7.0113885 51.5176521, 7.0113219 51.517974, 7.011377700000003 51.5179804, 7.011291300000003 51.5183841, 7.011492400000003 51.51840059999999, 7.011581600000002 51.5179944, 7.013405200000002 51.518141899999996, 7.013326800000001 51.518544000000006, 7.013586900000001 51.518566099999994, 7.013588499999998 51.5186111, 7.014464900000003 51.51868410000001, 7.014770100000001 51.51871380000001, 7.014912400000002 51.518735099999994, 7.0151074000000015 51.518774099999995, 7.015376200000003 51.518848399999996, 7.015557399999999 51.518912, 7.015739000000002 51.5189982, 7.015938699999999 51.5191193, 7.016093100000002 51.5192326, 7.016219500000003 51.51933319999999, 7.016602800000001 51.51967080000001, 7.016909499999997 51.51994270000001, 7.017068800000002 51.520081399999995, 7.0173206000000015 51.52027770000001, 7.0175179 51.5204061, 7.017709900000003 51.52051669999999, 7.0178903 51.52060509999999, 7.018065800000004 51.52068249999999, 7.0182639000000036 51.5207641, 7.018529799999999 51.5208599, 7.0185846 51.5208708, 7.018733600000002 51.52091429999999, 7.018863100000002 51.5209503, 7.0192872 51.5205121, 7.019803100000003 51.52001409999999, 7.020019899999999 51.5200708, 7.020171600000001 51.519858799999994, 7.0202325000000005 51.5198757, 7.020355500000001 51.51988119999999, 7.020578999999999 51.51984759999999, 7.020780300000001 51.51983369999999, 7.021047900000003 51.5198615, 7.021656100000004 51.52004529999999, 7.022546500000002 51.5203398, 7.022495000000001 51.5206245, 7.0225555 51.5207623, 7.022645100000001 51.5206961, 7.022820500000002 51.52062149999998, 7.023159400000005 51.52044329999998, 7.023410300000003 51.5203275, 7.0247732 51.5197893, 7.024167200000001 51.5198574, 7.023460200000001 51.52016779999999, 7.019548100000001 51.518444699999996, 7.016723700000002 51.51731900000001, 7.013119200000002 51.515887500000005, 7.011765100000003 51.51540729999999, 7.007783700000004 51.5146957, 7.0069882 51.5145714, 7.0069585 51.5149323, 7.006948900000002 51.515115699999996, 7.007227700000002 51.515206299999996, 7.0074663000000035 51.51526499999999, 7.0078108000000014 51.51534029999999, 7.0078480999999995 51.51553799999999, 7.008622200000001 51.5155014, 7.008727900000001 51.51552879999999, 7.0087512 51.515653, 7.009054700000004 51.515658999999985, 7.009100600000004 51.51591229999999, 7.010906400000001 51.515882899999994, 7.011220599999999 51.5159749, 7.011439299999999 51.5160392, 7.0115286000000046 51.51608529999999, 7.011598400000001 51.5161345, 7.0116771 51.5162351), (7.015903000000004 51.51859139999999, 7.016218800000002 51.5185325, 7.016486800000003 51.5184697, 7.016636400000001 51.5184305, 7.016711000000001 51.5184107, 7.016783600000003 51.51840419999999, 7.016831700000001 51.51838930000001, 7.0169013 51.5183666, 7.0170001 51.51833859999999, 7.017583200000002 51.51816359999999, 7.017642600000001 51.518159499999996, 7.018147200000004 51.51837029999999, 7.018493800000003 51.51851059999999, 7.0188241 51.5186482, 7.019191700000004 51.51880789999999, 7.019369800000002 51.518891899999986, 7.018566900000004 51.520594999999986, 7.0183533 51.5205306, 7.018327000000001 51.52047689999999, 7.0183116 51.5204917, 7.018280200000002 51.52043009999999, 7.018224400000002 51.5203756, 7.017627500000004 51.5199463, 7.016881299999998 51.51939339999999, 7.0168700999999984 51.5193736, 7.016865100000002 51.519359099999996, 7.016865300000003 51.5193361, 7.0168589 51.51932029999999, 7.016010800000002 51.518676400000004, 7.015903000000004 51.51859139999999))",Non,NoN,Non,Non
Bulmker Park,Gelsenkirchen,6.1417411118696705,7.110346677262511,51.51848510886095,"POLYGON ((7.112303399999999 51.5179749, 7.111839300000002 51.517925000000005, 7.111194600000003 51.51785559999999, 7.1113183 51.51748959999999, 7.1113603 51.5173698, 7.109780700000001 51.51703770000001, 7.109666299999999 51.51722999999999, 7.109626100000001 51.51722519999999, 7.109499100000003 51.5172115, 7.109395400000002 51.5174035, 7.109124100000004 51.517907099999995, 7.109020300000002 51.5180998, 7.1083711 51.5179666, 7.1083378 51.51795969999999, 7.107777900000002 51.51899149999999, 7.107897800000001 51.51909030000001, 7.1100529 51.519427400000005, 7.1110626 51.51958520000001, 7.111795799999997 51.519774700000006, 7.112121500000002 51.519347499999995, 7.112270700000004 51.5190964, 7.112371800000002 51.518851299999994, 7.1126265 51.518083499999996, 7.112627900000001 51.51798039999999, 7.112303399999999 51.5179749))",Non,NoN,Non,Non
Stadtgarten,Gelsenkirchen,25.15798965330411,7.086809544389482,51.505793019915096,"POLYGON ((7.086549499999999 51.5093219, 7.087835100000006 51.508924799999996, 7.088761700000003 51.5092287, 7.088921100000001 51.50915040000001, 7.0908023999999985 51.509681400000005, 7.090883300000003 51.509487799999995, 7.0900554 51.509312200000004, 7.0894452 51.509053599999994, 7.089021400000002 51.50884510000001, 7.0895208000000025 51.508297899999995, 7.089799000000001 51.507628100000005, 7.089980200000002 51.506672699999996, 7.088588100000003 51.506605699999994, 7.088777700000002 51.5054474, 7.0890795 51.50538209999999, 7.0903149999999995 51.50503599999999, 7.090663300000002 51.5036316, 7.087082599999999 51.50315710000001, 7.086823599999999 51.5032373, 7.086025300000004 51.5033107, 7.084291000000005 51.50319019999999, 7.083442000000002 51.5031683, 7.0830661 51.503296600000006, 7.082673200000002 51.5045999, 7.082367600000002 51.505154600000004, 7.082536700000003 51.505228399999986, 7.082637899999999 51.50532869999999, 7.0826933000000025 51.50545029999999, 7.084353400000003 51.5057427, 7.084366400000003 51.50580329999999, 7.084230100000002 51.506042999999984, 7.0840519 51.50643019999999, 7.0839674 51.5066265, 7.0845902000000045 51.506695099999995, 7.0857588000000025 51.50679879999999, 7.085675399999998 51.50724650000001, 7.0855332 51.5076991, 7.085358400000002 51.50824759999999, 7.085314500000002 51.508384299999996, 7.085265900000001 51.5084912, 7.085274200000001 51.508625, 7.085358000000001 51.50871819999999, 7.0857958 51.508922399999996, 7.086549499999999 51.5093219))",Non,NoN,Non,Non
Berger Aue,Gelsenkirchen,9.44137988297327,7.076222283781744,51.558138211988734,"POLYGON ((7.075335300000003 51.56089199999999, 7.074912100000001 51.560476200000004, 7.075428600000004 51.560201199999995, 7.075627700000001 51.55982689999999, 7.075622300000001 51.5597581, 7.075885099999999 51.5595484, 7.076139400000004 51.5597155, 7.076079199999999 51.55975169999999, 7.076106200000004 51.55977039999999, 7.076137400000001 51.55975170000001, 7.0763536 51.55989480000001, 7.076427799999999 51.5598258, 7.075944200000001 51.55950139999999, 7.076868900000005 51.5587569, 7.0775572 51.5582068, 7.078268500000003 51.55827359999999, 7.078220999999998 51.5581277, 7.0795295000000005 51.5579737, 7.079796300000002 51.55802959999999, 7.080251800000004 51.55719209999999, 7.0794137 51.557009400000005, 7.079232600000001 51.5573395, 7.0789750000000025 51.557565699999984, 7.078642700000001 51.55758759999999, 7.0784806 51.557607299999994, 7.078300900000002 51.55763689999999, 7.077951700000002 51.557717499999995, 7.077643200000003 51.5576982, 7.077413700000001 51.55766559999999, 7.076954299999998 51.55746250000001, 7.0764641000000035 51.55732769999999, 7.077003500000003 51.555856399999996, 7.0773628 51.5551731, 7.077960000000002 51.55403489999999, 7.0786974 51.5526371, 7.078906800000002 51.552395999999995, 7.078488100000002 51.55231489999999, 7.0784188 51.55232329999998, 7.078398700000002 51.55234020000001, 7.075551300000002 51.557494600000005, 7.0751729999999995 51.5581085, 7.0748086 51.5586708, 7.0740176 51.5598215, 7.073454600000001 51.560587399999996, 7.073360100000005 51.56069899999999, 7.073058900000001 51.5609902, 7.0729603 51.5611057, 7.072764499999997 51.5613383, 7.072747200000001 51.5614029, 7.072769 51.5614662, 7.0728063 51.561512699999994, 7.072874700000002 51.561551999999985, 7.0731739000000005 51.5616702, 7.073383099999999 51.5616342, 7.073893099999999 51.5609507, 7.074514000000004 51.56113169999999, 7.075044700000002 51.56128699999999, 7.075191100000001 51.5610643, 7.075788199999998 51.5615757, 7.075911200000003 51.5614606, 7.075715800000004 51.561295099999995, 7.0757293000000026 51.561283499999995, 7.075335300000003 51.56089199999999))",Non,NoN,Non,Non
Burgerspark,Gelsenkirchen,6.020844279101121,7.115582465736753,51.518350688446915,"POLYGON ((7.113107900000005 51.5178434, 7.114031900000002 51.5178145, 7.1147824 51.517947, 7.1140623000000005 51.5190153, 7.113817000000002 51.5193535, 7.113439000000004 51.519841199999995, 7.114106300000005 51.519862399999994, 7.114733900000001 51.519901700000005, 7.1155679 51.51989410000001, 7.1159894999999995 51.5194727, 7.1164577000000016 51.519110299999994, 7.116832099999999 51.51876020000001, 7.117263700000001 51.518767899999986, 7.117408 51.51884269999999, 7.117478500000003 51.5188112, 7.1175551 51.51878279999999, 7.117530499999999 51.5187567, 7.117524 51.5187454, 7.1175183 51.5187296, 7.117521400000002 51.5186676, 7.117572300000001 51.51866789999999, 7.117585100000002 51.518118199999996, 7.117586999999999 51.518038799999985, 7.117595300000001 51.5176799, 7.117354000000004 51.51769839999998, 7.117079600000001 51.5177198, 7.116656600000003 51.517740800000006, 7.1164708 51.517749999999985, 7.1165582999999994 51.51750650000001, 7.1168208 51.51749319999999, 7.1169167 51.5163407, 7.115675000000001 51.51630279999999, 7.115756400000003 51.5165627, 7.115934400000002 51.516728799999996, 7.116000900000003 51.5168559, 7.116032299999998 51.5170816, 7.115811000000002 51.51729449999999, 7.1156991000000005 51.51729279999999, 7.115692799999998 51.51744800000001, 7.115548799999997 51.5174455, 7.1154906 51.51773279999999, 7.114709300000002 51.517715499999994, 7.1145098 51.5177062, 7.1139589000000045 51.517674099999994, 7.113356400000002 51.5176221, 7.1129237000000005 51.51757609999999, 7.112829000000001 51.5176119, 7.112474700000001 51.5175838, 7.1124555 51.517649, 7.1123663 51.517951399999994, 7.112623400000002 51.5179553, 7.113107900000005 51.5178434))",Non,NoN,Non,Non
Wissenschaftspark Gelsenkirchen,Gelsenkirchen,6.624878499428332,7.107152130396238,51.498795319238674,"POLYGON ((7.10616 51.501016799999995, 7.1063024000000015 51.5009062, 7.106748299999999 51.50070410000001, 7.106960200000001 51.500628, 7.106980600000002 51.500646599999996, 7.107429300000002 51.500489, 7.107584900000003 51.5006465, 7.107957799999998 51.5005854, 7.1083994 51.5004326, 7.108488099999999 51.5003462, 7.108357200000003 51.5002127, 7.108274900000002 51.500130199999994, 7.108220000000006 51.500042699999995, 7.108210200000003 51.49996790000001, 7.108357500000002 51.4992621, 7.108383300000001 51.49908020000001, 7.108617100000003 51.4981748, 7.108508300000003 51.4981652, 7.108355500000002 51.4981523, 7.108306700000001 51.49812969999999, 7.1082723 51.49808169999999, 7.108252500000002 51.4979935, 7.1081999 51.497889299999976, 7.1080453000000015 51.49764029999999, 7.108004800000003 51.49754359999999, 7.108018200000004 51.49749689999999, 7.108055100000002 51.497425099999994, 7.108155600000003 51.497376599999996, 7.108232100000003 51.497281999999984, 7.108545900000002 51.49697249999999, 7.108792700000001 51.496748399999994, 7.108763800000001 51.496723700000004, 7.108829700000001 51.4966703, 7.1086233000000005 51.496684099999996, 7.108200799999998 51.496702000000006, 7.108228300000003 51.497046000000005, 7.108095600000002 51.49714399999999, 7.1078705999999965 51.49723730000001, 7.107616300000002 51.49725329999999, 7.107100100000002 51.4972605, 7.106999100000003 51.496692, 7.106237900000001 51.4966923, 7.1059827 51.49673859999999, 7.105842100000002 51.497371300000005, 7.105752 51.49767739999999, 7.106066300000003 51.4977177, 7.1063870000000025 51.49786349999999, 7.106413899999999 51.498107100000006, 7.106228000000001 51.49848979999999, 7.106020900000002 51.498753, 7.105950300000002 51.498909499999996, 7.105911700000001 51.49905149999999, 7.106054999999999 51.4993385, 7.106144699999999 51.4995206, 7.1062542 51.49974470000001, 7.106328300000003 51.499927099999994, 7.1062407000000025 51.50007389999998, 7.105784500000003 51.500155299999996, 7.105961200000005 51.500566199999994, 7.105902799999998 51.50078839999999, 7.105905300000003 51.500824599999994, 7.10616 51.501016799999995))",Non,NoN,Non,Non
Von-Wedelstaedt-Park,Gelsenkirchen,5.640814401932543,7.117124121606957,51.492110762230716,"POLYGON ((7.1148525 51.4923907, 7.116833100000003 51.4937189, 7.117366400000002 51.4934415, 7.117985500000001 51.49382610000001, 7.118279599999999 51.4937547, 7.117713800000002 51.49261309999999, 7.118544000000001 51.492086399999984, 7.118709100000004 51.492081, 7.118466500000003 51.4916829, 7.1190178999999985 51.49085680000002, 7.118714400000004 51.4906328, 7.118756000000002 51.4905591, 7.118622600000002 51.49037309999999, 7.1185467 51.4903855, 7.118323899999999 51.4904532, 7.118044300000002 51.49054729999999, 7.117623900000002 51.49070499999999, 7.116693199999998 51.4911055, 7.115864700000002 51.4916401, 7.1148525 51.4923907))",Non,NoN,Non,Non
