Stadt,Bundesland,Einwohner,Latitude,Longitude,grünfläche_m2
Brandenburg an der Havel,Brandenburg,73.552,52.4108261,12.5497933,4011090.59563049
Cottbus (Chóśebuz)	,Brandenburg,	93.926,51.7567447,14.3357307,7311130.027670529
Frankfurt (Oder)	,Brandenburg,	55.841,52.3412273,14.549452,3425418.9155478557
Potsdam	,Brandenburg,	182.806,52.4009309,13.0591397,21418791.792855695
Berlin	,Berlin,	3.596.999,52.510885,13.3989367,162111147.30900377
Aalen	,Baden-Württemberg,	67.139,48.8375607,10.0929593,1645510.1543301088
Baden-Baden	,Baden-Württemberg,	55.887,48.7610716,8.239959,2762757.4099541493
Böblingen	,Baden-Württemberg,	50.705,48.684969,9.0113444,1413962.0132613254
Esslingen am Neckar	,Baden-Württemberg,	94.442,48.7427584,9.3071685,1017316.239376863
Freiburg im Breisgau,	Baden-Württemberg,	233.040,47.9960901,7.8494005,7212119.268329249
Friedrichshafen,	Baden-Württemberg,	61.780,47.6500279,9.4800858,586202.2002415636
Göppingen	,Baden-Württemberg,	57.809,48.7031377,9.6541116,1222120.4173145376
Heidelberg	,Baden-Württemberg,	153.809,49.4093582,8.694724,1915638.302247887
Heilbronn	,Baden-Württemberg,	128.303,49.142291,9.218655,2945612.153588864
Karlsruhe	,Baden-Württemberg,	305.408,49.0068705,8.4034195,8110457.157497864
Konstanz	,Baden-Württemberg,	86.437,47.659216,9.1750718,2176446.768776817
Ludwigsburg,	Baden-Württemberg,	91.810,48.8953937,9.1895147,5329559.604061091
Mannheim,	Baden-Württemberg,	313.693,49.4892913,8.4673098,10541378.973696759
Offenburg,	Baden-Württemberg,	62.220,48.4695984,7.9429235,1580595.8708147996
Pforzheim,	Baden-Württemberg,	133.110,48.8908846,8.7029532,2726982.9960461548
Rastatt	,Baden-Württemberg	,50.546,48.8574209,8.2088088,1364623.5742883312
Reutlingen	,Baden-Württemberg,	116.925,48.4919508,9.2114144,3341063.5864967406
