Stadt,Bundesland,Einwohner,Latitude,Longitude,Anzahl Parks,Gesamtfläche Parks (ha),Anzahl Friedhöfe,Gesamtfläche Friedhöfe (ha),Fahrrad Potenzial
Brandenburg an der Havel,Brandenburg,73.552,52.4108261,12.5497933,20,102.06,5,25.53,11
Cottbus (Chóśebuz)	,Brandenburg,	93.926,51.7567447,14.3357307,24,210.67,7,40.68,21
Frankfurt (Oder)	,Brandenburg,	55.841,52.3412273,14.549452,13,88.74,2,28.52,9
Potsdam	,Brandenburg,	182.806,52.4009309,13.0591397,49,713.91,9,54.61,71
Berlin	,Berlin,	3.596.999,52.510885,13.3989367,733,4146.46,170,1125.06,409
Aalen	,Baden-Württemberg,	67.139,48.8375607,10.0929593,15,28.17,6,25.12,3
Baden-Baden	,Baden-Württemberg,	55.887,48.7610716,8.239959,18,89.59,6,18.11,9
Böblingen	,Baden-Württemberg,	50.705,48.684969,9.0113444,6,40.1,3,19.66,4
Esslingen am Neckar	,Baden-Württemberg,	94.442,48.7427584,9.3071685,4,12.31,8,23.49,2
Freiburg im Breisgau,	Baden-Württemberg,	233.040,47.9960901,7.8494005,42,230.16,7,50.66,23
Friedrichshafen,	Baden-Württemberg,	61.780,47.6500279,9.4800858,2,9.67,2,11.91,1
Göppingen	,Baden-Württemberg,	57.809,48.7031377,9.6541116,10,32.56,5,14.79,4
Heidelberg	,Baden-Württemberg,	153.809,49.4093582,8.694724,11,22.07,10,39.35,3
Heilbronn	,Baden-Württemberg,	128.303,49.142291,9.218655,17,73.77,7,39.16,8
Karlsruhe	,Baden-Württemberg,	305.408,49.0068705,8.4034195,54,229.82,17,70.92,23
Konstanz	,Baden-Württemberg,	86.437,47.659216,9.1750718,13,72.3,5,17.38,8
Ludwigsburg,	Baden-Württemberg,	91.810,48.8953937,9.1895147,12,190.83,7,31.92,19
Mannheim,	Baden-Württemberg,	313.693,49.4892913,8.4673098,38,342.3,11,78.75,34
Offenburg,	Baden-Württemberg,	62.220,48.4695984,7.9429235,8,40.35,4,16.54,4
Pforzheim,	Baden-Württemberg,	133.110,48.8908846,8.7029532,11,52.73,7,55.41,6
Rastatt	,Baden-Württemberg	,50.546,48.8574209,8.2088088,10,40.4,2,12.5,4
Reutlingen	,Baden-Württemberg,	116.925,48.4919508,9.2114144,18,95.62,8,36.44,10
Schwäbisch Gmünd	,Baden-Württemberg,	63.449,48.7999036,9.7977584,5,20.87,5,15.93,3
Sindelfingen,	Baden-Württemberg,	60.545,48.7084162,9.0035455,14,80.57,4,21.64,8
Stuttgart,	Baden-Württemberg	,610.458,48.7784485,9.1800132,67,463.76,33,200.29,46
Tübingen,	Baden-Württemberg	,90.499,48.5203263,9.053596,12,33.98,4,21.0,4
Ulm	,Baden-Württemberg	,127.116,48.3984968,9.9912458,17,90.31,3,29.39,9
Villingen-Schwenningen	,Baden-Württemberg,	87.478,48.0632359,8.4945022,12,46.6,3,25.74,5
Waiblingen	,Baden-Württemberg,	57.280,48.8325659,9.3163822,6,29.09,5,11.89,3
Aschaffenburg,	Bayern	,71.692,49.9706701,9.13848573082478,13,271.71,7,26.68,27
Augsburg,	Bayern	,294.647,48.3690341,10.8979522,37,143.97,10,76.04,15
Bamberg	,Bayern	,72.764,49.8916044,10.8868478,10,86.99,2,17.08,9
Bayreuth,	Bayern	,72.289,49.9427202,11.5763079,7,119.39,4,16.21,12
Erlangen,	Bayern	,112.220,49.5891571,10.98120719922546,11,31.2,6,17.93,4
Fürth	,Bayern	,130.126,49.48857105,10.95872031326412,9,47.73,5,32.06,5
Ingolstadt,	Bayern,	136.468,48.7630165,11.4250395,23,141.42,7,32.1,14
Kempten (Allgäu),	Bayern,	65.050,47.7267063,10.3168835,17,77.01,4,15.91,8
Landshut,	Bayern	,67.880,48.536217,12.1516551,7,134.63,4,18.01,14
München	,Bayern	,1.478.638,48.1371079,11.5753822,290,2579.35,26,417.91,255
Neu-Ulm	,Bayern	,60.597,48.3953489,10.0005211,4,38.58,3,10.95,4
Nürnberg,	Bayern,	522.554,49.453872,11.077298,36,396.01,16,129.71,40
Passau	,Bayern	,51.907,48.5748229,13.4609744,3,35.9,4,7.35,4
Regensburg	,Bayern,	145.901,49.0195333,12.0974869,46,316.87,5,28.11,32
Rosenheim	,Bayern,	63.284,47.8539273,12.127262,5,14.44,1,7.88,2
Schweinfurt	,Bayern,	53.242,50.051855200000006,10.222092114223384,11,49.71,2,17.53,5
Würzburg,	Bayern,	131.316,49.7780356,9.94347690712558,34,208.9,6,33.5,21
Bremen	,Bremen	,575.071,53.0758196,8.8071646,131,1275.87,26,222.31,126
Bremerhaven	,Bremen,	118.133,53.5505392,8.5851945,20,194.94,6,60.69,20
Bad Homburg vor der Höhe,	Hessen,	54.795,50.2363508,8.5980265,8,85.55,6,15.37,9
Darmstadt,	Hessen,	161.767,49.8851869,8.6736295,26,167.7,8,97.84,17
Frankfurt am Main,	Hessen,	743.268,50.1106444,8.6820917,131,768.09,32,251.94,76
Fulda	,Hessen	,64.688,50.5542328,9.6770448,19,105.85,5,31.91,11
